Аптечная сеть 36,6;apteka-36-6_rts-ratios
Polymetal;polymetal-ratios
Polymetal International, ао;polymetal-ratios
КИВИ ПиЭлСи, ДР;qiwi-plc-ratios?cid=960754
QIWI;qiwi-plc-ratios
Лента Лтд, ДР;lenta-ltd-ratios?cid=962408
Yandex;yandex-ratios
ЯНДЕКС, ао;yandex-ratios
GTL, ао;gtl-oao-ratios
АбрауДюрсо;abrau-durso-oao-ratios
Авангард АКБ, ао;akb-avangard-oao-ratios
АВТОВАЗ;avtovaz-ratios
АВТОВАЗ, ао;avtovaz-ratios
АВТОВАЗ - акции привилегированные;avtovaz-(pref)-ratios
АВТОВАЗ, ап;avtovaz-(pref)-ratios
Акрон;akron_rts-ratios
Акрон, ао;akron_rts-ratios
АЛРОСА;alrosa-ao-ratios
АЛРОСА, ао;alrosa-ao-ratios
АЛРОСА-Нюрба;alrosa-nyurba-ratios
АЛРОСА-Нюрба, ао;alrosa-nyurba-ratios
Аптечная сеть 36.6, ао;apteka-36-6_rts-ratios
Армада, ао;armada-ratios
Астраханская ЭСК, ао;astrakhan-power-sale-comp-ratios
АФК Система;afk-sistema_rts-ratios
АФК Система, ао;afk-sistema_rts-ratios
Ашинский метзавод;ashinskiy-metallurgical-works-ratios
Ашинский метзавод, ао;ashinskiy-metallurgical-works-ratios
Аэрофлот;aeroflot-ratios
Аэрофлот, ао;aeroflot-ratios
Банк Возрождение, ао;vozrozhdenie_rts-ratios
Банк Возрождение - акции привилегированные;bank-vozrozhdeniye-pao-ratios
Банк Возрождение, ап;bank-vozrozhdeniye-pao-ratios
Банк Кузнецкий, ао;bank-kuznetskiy-oao-ratios
АКБ Приморье, ао;akb-primorye-oao-ratios
Банк Санкт-Петербург;bank-st-petersbr_rts-ratios
Банк Санкт-Петербург, ао;bank-st-petersbr_rts-ratios
БАНК УРАЛСИБ, ао;bank-uralsib-ratios
Банк ФК Открытие, ао;nomos-bank-ratios
Башинформсвязь, ао;bashinformsvyaz-ratios
Башинформсвязь, ап;bashinformsvyaz-(pref)-ratios
Башнефть, ао;bashneft_rts-ratios
Башнефть;bashneft_rts-ratios
Башнефть - привилегированные акции;bashneft-(pref)-ratios
Башнефть, ап;bashneft-(pref)-ratios
Белон;belon_rts-ratios
Белон, ао;belon_rts-ratios
Бест Эффортс Банк (бывш. АЛОР БАНК), ао;alor-bank-oao-ratios
Бурятзолото;buryatzoloto-ratios
Бурятзолото, ао;buryatzoloto-ratios
Варьеганнефтегаз, ао;varyeganneftegaz-ratios
Варьеганнефтегаз, ап;varyeganneftegaz-(pref)-ratios
Владимирская ЭСК, ао;vladimirenergosbyt-oao-ratios
Волгоградская ЭСК, ао;volgogradenergosbyt-ratios
Волгоградская ЭСК, ап;volgogradenergosbyt-(pref)-ratios
ВСМПО-АВИСМА;vsmpo-avisma-crp_rts-ratios
ВСМПО-АВИСМА, ао;vsmpo-avisma-crp_rts-ratios
Банк ВТБ;vtb_rts-ratios
ВТБ, ао;vtb_rts-ratios
ВТОРРЕСУРСЫ, ао;vtorresursy-oao-ratios
ВХЗ, ао;vladimirskiy-khimicheskiy-ratios
Выборгский судостроительный завод, ао;vyborgskiy-sudostroitelnyi-zavod-ratios
Выборгский судостроительный завод, ап;vyborgskiy-sudostroitelnyi-pao-ratios
ГАЗ, ао;gaz-auto-plant-ratios
ГАЗ, ап;gaz-auto-plant-(pref)-ratios
Газпром газораспределение Ростов-на-Дону, ао;gazprom-gazoraspredeleniye-ratios
Газпром нефть;gazprom-neft_rts-ratios
Газпром нефть, ао;gazprom-neft_rts-ratios
Газпром;gazprom_rts-ratios
Газпром, ао;gazprom_rts-ratios
Галс-Девелопмент;gals-development-ratios
Галс-Девелопмент (бывш. Система-Галс), ао;gals-development-ratios
Норильский никель;gmk-noril-nickel_rts-ratios
ГМК Норильский никель, ао;gmk-noril-nickel_rts-ratios
Городские Инновационные Технологии;gorodskiye-innovatsionnyye-tekhnolo-ratios
Городские Инновационные Технологии, ао;gorodskiye-innovatsionnyye-tekhnolo-ratios
ГДР En+ Group;en-drc-ratios
ГДР X5 RetailGroup;x5-retail-grp-ratios
ПИК;pik_rts-ratios
Группа Компаний ПИК, ао;pik_rts-ratios
ГТМ;gtm-corp-ratios
Группа Компаний Роллман, ао;gk-rollman-oao-ratios
Группа Компаний Роллман, ап;gk-rollman-oao-pref-ratios
Группа ЛСР;lsr-group_rts-ratios
Группа ЛСР (ПАО), ао;lsr-group_rts-ratios
Группа Черкизово;gruppa-cherkizovo-ratios
Группа Черкизово, ао;gruppa-cherkizovo-ratios
Дагестанская ЭСК, ао;dagestan-sb-ratios
ДВМП (FESCO), ао;dvmp-oao-ratios
Детский Мир;detskiy-mir-pao-ratios
Детский мир, ао;detskiy-mir-pao-ratios
ДИКСИ;dixy-group_rts-ratios
Дикси Групп, ао;dixy-group_rts-ratios
Диод, ао;diod-oao-ratios
Донской завод радиодеталей, ао;donskoy-zavod-radiodetaley-oao-ratios
Донской завод радиодеталей, ап;donskoy-zavod-radiodetaley-oao-pref-ratios
Дорогобуж, ао;dorogobuzh-ratios
Дагестанская энергосбытовая компания;dagestan-sb-ratios
ДЭК;dec-ratios
ДЭК, ао;dec-ratios
САФМАР;yevroplan-pao-ratios
Европлан, ао;yevroplan-pao-ratios
Единые Техно Системы, ао;yedinye-tekhno-sistemy-pao-ratios
Звезда, ао;zvezda-ratios
ЗИЛ, ао;amo-zil-ratios
ЗМЗ, ао;zmz-oao-ratios
ЗМЗ, ап;zavolzhskiy-motornyi-zavod-oao-ratios
Ижсталь, ао;izhstal-ratios
Ижсталь, ап;izhstal-(pref)-ratios
ИК РУСС-ИНВЕСТ, ао;ic-russ-invest-ratios
Инвест-Девелопмент, ао;invest-development-pao-ratios
Институт Стволовых Клеток Человека, ао;human-stem-cells-institute-ratios
Интер РАО ЕЭС;inter-rao-ees_mm-ratios
ИНТЕР РАО, ао;inter-rao-ees_mm-ratios
Корпорация ИРКУТ;irkut-corp-ratios
ИРКУТ, ао;irkut-corp-ratios
Иркутскэнерго;irkutskenergo-ratios
Иркутскэнерго, ао;irkutskenergo-ratios
Органический синтез;kazanorgsintez-ratios
ПАО «КАЗАНЬОРГСИНТЕЗ»;kazanorgsintez-ratios
Органический синтез - акции привилегированные;organicheskiy-sintez-kpao-ratios
ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные;organicheskiy-sintez-kpao-ratios
Калужская сбытовая компания;kaluga-power-sale-comp-ratios
Калужская СК, ао;kaluga-power-sale-comp-ratios
КАМАЗ;kamaz-ratios
КАМАЗ, ао;kamaz-ratios
Камчатскэнерго, ао;kamchatskenergo-ratios
Камчатскэнерго, ап;kamchatskenergo-(pref)-ratios
Квадра;quadra---power-generation-ratios
Квадра (ТГК-4), ао;quadra---power-generation-ratios
Квадра (ТГК-4), ап;quadra---power-generation-(pref)-ratios
